product,num_reviews,rate,url,amazon_rating
"Voltas 1.4 Ton 3 Star Fixed Speed Window AC (Copper, 2021 173 DZA, White), regular",642.0,0.10824,"https://www.amazon.in/Voltas-Window-173-DZA-regular/product-reviews/B08SWDZT17/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
",4.1
"Carrier 1.5 Ton 3 Star Window AC (Copper,ESTRA Nx R32,CAW18SN3R39F0,2021 Model, White)",41.0,0.0258,"https://www.amazon.in/Carrier-Window-Copper-ESTRA-CAW18SN3R39F0/product-reviews/B08V5DT6R1/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
",4.2
"LG 1.5 Ton 5 Star Wi-Fi Inverter Window AC (Copper, 2020 Model, JW-Q18WUZA, White)",215.0,0.12988,"https://www.amazon.in/LG-Inverter-Window-JW-Q18WUZA-Detection/product-reviews/B082TGK3K8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
",4.3
"Haier 1.5 Ton 3 Star Window AC (Copper, High Density Filter, 2020 Model, HWU18C-CV3CNB, White)",4.0,0.00233,"https://www.amazon.in/Haier-Window-Copper-HWU18C-CV3CNB-White/product-reviews/B085P7F3XD/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
",4.1
"Voltas 1.4 Ton 5 Star Fixed Speed Window AC (Copper, 2021 175 LZH, White), regular",310.0,0.08128,"https://www.amazon.in/Voltas-Window-175-LZH-regular/product-reviews/B08SW4FYZM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
",4.2
"Blue Star 0.75 Ton 3 Star Rating Window AC (Copper, 2018 Model, 3WAE081YDF, White)",248.0,0.05371,"https://www.amazon.in/Blue-Star-3WAE081YDF-Window-Rating/product-reviews/B01CFY8RBM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
",4.2
Mi 11X 5G Cosmic Black 6GB RAM 128GB ROM | SD 870 | DisplayMate A+ rated E4 AMOLED,885.0,0.09424,"https://www.amazon.in/11X-Cosmic-Black-128GB-Storage/product-reviews/B085J1QWFV/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
",4.1
New Apple iPhone 12 (64GB) - Blue,816.0,0.06594,https://www.amazon.in/New-Apple-iPhone-12-64GB/product-reviews/B08L5WHFT9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4.6
"Carrier 1.5 Ton 3 Star Window AC (Copper,ESTRA Nx R32,CAW18SN3R39F0,2021 Model, White)",50.0,0.10783,"https://www.amazon.in/Carrier-Window-Copper-ESTRA-CAW18SN3R39F0/product-reviews/B08V5DT6R1/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
",4.1
"Blue Star 0.75 Ton 3 Star Rating Window AC (Copper, 2018 Model, 3WAE081YDF, White)",251.0,0.10783,"https://www.amazon.in/Blue-Star-3WAE081YDF-Window-Rating/product-reviews/B01CFY8RBM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
",4.2
"Carrier 1.5 Ton 3 Star Window AC (Copper,ESTRA Nx R32,CAW18SN3R39F0,2021 Model, White)",50.0,0.10783,"https://www.amazon.in/Carrier-Window-Copper-ESTRA-CAW18SN3R39F0/product-reviews/B08V5DT6R1/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
",4.1
"LG 1.5 Ton 5 Star Wi-Fi Inverter Window AC (Copper, 2020 Model, JW-Q18WUZA, White)",225.0,0.02785,"https://www.amazon.in/LG-Inverter-Window-JW-Q18WUZA-Detection/product-reviews/B082TGK3K8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
",4.3
"Haier 1.5 Ton 3 Star Window AC (Copper, High Density Filter, 2020 Model, HWU18C-CV3CNB, White)",6.0,0.13381,"https://www.amazon.in/Haier-Window-Copper-HWU18C-CV3CNB-White/product-reviews/B085P7F3XD/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
",4.0
"Voltas 1.4 Ton 5 Star Fixed Speed Window AC (Copper, 2021 175 LZH, White), regular",317.0,0.00365,"https://www.amazon.in/Voltas-Window-175-LZH-regular/product-reviews/B08SW4FYZM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
",4.2
"Blue Star 0.75 Ton 3 Star Rating Window AC (Copper, 2018 Model, 3WAE081YDF, White)",251.0,0.08089,"https://www.amazon.in/Blue-Star-3WAE081YDF-Window-Rating/product-reviews/B01CFY8RBM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
",4.2
